"Region","Location","SampleID","POPGROUP","Fraction"
"Archbold","Archbold","ALD13",5,1e-05
"Archbold","Archbold","ALD14",1,1e-05
"Archbold","Archbold","ALD14",2,0.99996
"Archbold","Archbold","ALD14",3,1e-05
"Archbold","Archbold","ALD14",4,1e-05
"Archbold","Archbold","ALD14",5,1e-05
"Archbold","Archbold","ALD15",1,1e-05
"Archbold","Archbold","ALD15",2,0.99996
"Archbold","Archbold","ALD15",3,1e-05
"Archbold","Archbold","ALD15",4,1e-05
"Archbold","Archbold","ALD15",5,1e-05
"Archbold","Archbold","ALD16",1,1.9e-05
"Archbold","Archbold","ALD16",2,0.999951
"Archbold","Archbold","ALD16",3,1e-05
"Archbold","Archbold","ALD16",4,1e-05
"Archbold","Archbold","ALD16",5,1e-05
"Archbold","Archbold","ALD17",1,1e-05
"Archbold","Archbold","ALD17",2,0.99996
"Archbold","Archbold","ALD17",3,1e-05
"Archbold","Archbold","ALD17",4,1e-05
"Archbold","Archbold","ALD17",5,1e-05
"Archbold","Archbold","ALD18",1,1e-05
"Archbold","Archbold","ALD18",2,0.99996
"Archbold","Archbold","ALD18",3,1e-05
"Archbold","Archbold","ALD18",4,1e-05
"Archbold","Archbold","ALD18",5,1e-05
"Archbold","Archbold","ALD19",1,1e-05
"Archbold","Archbold","ALD19",2,0.999957
"Archbold","Archbold","ALD19",3,1.3e-05
"Archbold","Archbold","ALD19",4,1e-05
"Archbold","Archbold","ALD19",5,1e-05
"Archbold","Archbold","ALD20",1,1e-05
"Archbold","Archbold","ALD20",2,0.99996
"Archbold","Archbold","ALD20",3,1e-05
"Archbold","Archbold","ALD20",4,1e-05
"Archbold","Archbold","ALD20",5,1e-05
"Archbold","Archbold","ALD21",1,1e-05
"Archbold","Archbold","ALD21",2,0.99996
"Archbold","Archbold","ALD21",3,1e-05
"Archbold","Archbold","ALD21",4,1e-05
"Archbold","Archbold","ALD21",5,1e-05
"Archbold","Archbold","ALD22",1,1e-05
"Archbold","Archbold","ALD22",2,0.976474
"Archbold","Archbold","ALD22",3,1e-05
"Archbold","Archbold","ALD22",4,1e-05
"Archbold","Archbold","ALD22",5,0.023496
"Archbold","Archbold","ALD23",1,1e-05
"Archbold","Archbold","ALD23",2,0.99996
"Archbold","Archbold","ALD23",3,1e-05
"Archbold","Archbold","ALD23",4,1e-05
"Archbold","Archbold","ALD23",5,1e-05
"Archbold","Archbold","ALD24",1,1e-05
"Archbold","Archbold","ALD24",2,0.995407
"Archbold","Archbold","ALD24",3,1e-05
"Archbold","Archbold","ALD24",4,1e-05
"Archbold","Archbold","ALD24",5,0.004563
"Archbold","Archbold","ALD26",1,1e-05
"Archbold","Archbold","ALD26",2,0.999959
"Archbold","Archbold","ALD26",3,1.1e-05
"Archbold","Archbold","ALD26",4,1e-05
"Archbold","Archbold","ALD26",5,1e-05
"Archbold","Archbold","ALD29",1,1e-05
"Archbold","Archbold","ALD29",2,0.970424
"Archbold","Archbold","ALD29",3,1e-05
"Archbold","Archbold","ALD29",4,1e-05
"Archbold","Archbold","ALD29",5,0.029546
"NBC","BL","BCK65",1,0.194238
"NBC","BL","BCK65",2,0.030019
"NBC","BL","BCK65",3,0.511968
"NBC","BL","BCK65",4,0.055891
"NBC","BL","BCK65",5,0.207883
"NBC","BL","BCK66",1,0.263385
"NBC","BL","BCK66",2,0.031816
"NBC","BL","BCK66",3,0.190842
"NBC","BL","BCK66",4,0.065852
"NBC","BL","BCK66",5,0.448105
"NBC","BL","BCK67",1,0.224052
"NBC","BL","BCK67",2,0.036688
"NBC","BL","BCK67",3,0.367602
"NBC","BL","BCK67",4,0.062854
"NBC","BL","BCK67",5,0.308805
"CBC","Cruickshank","CCK186",1,1e-05
"CBC","Cruickshank","CCK186",2,1e-05
"CBC","Cruickshank","CCK186",3,1e-05
"CBC","Cruickshank","CCK186",4,1e-05
"CBC","Cruickshank","CCK186",5,0.99996
"CBC","Cruickshank","CCK26",1,1e-05
"CBC","Cruickshank","CCK26",2,1e-05
"CBC","Cruickshank","CCK26",3,1e-05
"CBC","Cruickshank","CCK26",4,0.056853
"CBC","Cruickshank","CCK26",5,0.943117
"CBC","Cruickshank","CCK27",1,1e-05
"CBC","Cruickshank","CCK27",2,1e-05
"CBC","Cruickshank","CCK27",3,1e-05
"CBC","Cruickshank","CCK27",4,0.050217
"CBC","Cruickshank","CCK27",5,0.949753
"CBC","Cruickshank","CCK29",1,1e-05
"CBC","Cruickshank","CCK29",2,1e-05
"CBC","Cruickshank","CCK29",3,1e-05
"CBC","Cruickshank","CCK29",4,0.066794
"CBC","Cruickshank","CCK29",5,0.933176
"CBC","Cruickshank","CCK30",1,0.013798
"CBC","Cruickshank","CCK30",2,1e-05
"CBC","Cruickshank","CCK30",3,0.091462
"CBC","Cruickshank","CCK30",4,0.025252
"CBC","Cruickshank","CCK30",5,0.869478
"CBC","Cruickshank","CCK31",1,1e-05
"CBC","Cruickshank","CCK31",2,1e-05
"CBC","Cruickshank","CCK31",3,1e-05
"CBC","Cruickshank","CCK31",4,0.058337
"CBC","Cruickshank","CCK31",5,0.941633
"CBC","Cruickshank","CCK32",1,1e-05
"CBC","Cruickshank","CCK32",2,1e-05
"CBC","Cruickshank","CCK32",3,1e-05
"CBC","Cruickshank","CCK32",4,0.06627
"CBC","Cruickshank","CCK32",5,0.9337
"CBC","Cruickshank","CCK33",1,1e-05
"CBC","Cruickshank","CCK33",2,1e-05
"CBC","Cruickshank","CCK33",3,1e-05
"CBC","Cruickshank","CCK33",4,1e-05
"CBC","Cruickshank","CCK33",5,0.99996
"CBC","Cruickshank","CCK34",1,0.184578
"CBC","Cruickshank","CCK34",2,1e-05
"CBC","Cruickshank","CCK34",3,0.032035
"CBC","Cruickshank","CCK34",4,0.028337
"CBC","Cruickshank","CCK34",5,0.755041
"CBC","Cruickshank","CCK35",1,1e-05
"CBC","Cruickshank","CCK35",2,1e-05
"CBC","Cruickshank","CCK35",3,1e-05
"CBC","Cruickshank","CCK35",4,0.017653
"CBC","Cruickshank","CCK35",5,0.982317
"CBC","Cruickshank","CCK36",1,1e-05
"CBC","Cruickshank","CCK36",2,1e-05
"CBC","Cruickshank","CCK36",3,0.026105
"CBC","Cruickshank","CCK36",4,1e-05
"CBC","Cruickshank","CCK36",5,0.973865
"CBC","Cruickshank","CCK37",1,1e-05
"CBC","Cruickshank","CCK37",2,1e-05
"CBC","Cruickshank","CCK37",3,1e-05
"CBC","Cruickshank","CCK37",4,1e-05
"CBC","Cruickshank","CCK37",5,0.99996
"CBC","Cruickshank","CCK38",1,1e-05
"CBC","Cruickshank","CCK38",2,1e-05
"CBC","Cruickshank","CCK38",3,0.020446
"CBC","Cruickshank","CCK38",4,1e-05
"CBC","Cruickshank","CCK38",5,0.979524
"CBC","Cruickshank","CCK39",1,1e-05
"CBC","Cruickshank","CCK39",2,1e-05
"CBC","Cruickshank","CCK39",3,1e-05
"CBC","Cruickshank","CCK39",4,1e-05
"CBC","Cruickshank","CCK39",5,0.99996
"CBC","Cruickshank","CCK400",1,0.059774
"CBC","Cruickshank","CCK400",2,1e-05
"CBC","Cruickshank","CCK400",3,0.031011
"CBC","Cruickshank","CCK400",4,0.10486
"CBC","Cruickshank","CCK400",5,0.804345
"CBC","Cruickshank","CCK405",1,0.048746
"CBC","Cruickshank","CCK405",2,1e-05
"CBC","Cruickshank","CCK405",3,0.075745
"CBC","Cruickshank","CCK405",4,0.132816
"CBC","Cruickshank","CCK405",5,0.742683
"CBC","Cruickshank","CCK408",1,0.097845
"CBC","Cruickshank","CCK408",2,1e-05
"CBC","Cruickshank","CCK408",3,1e-05
"CBC","Cruickshank","CCK408",4,0.007415
"CBC","Cruickshank","CCK408",5,0.89472
"CBC","Cruickshank","CCK40",1,1e-05
"CBC","Cruickshank","CCK40",2,1e-05
"CBC","Cruickshank","CCK40",3,1e-05
"CBC","Cruickshank","CCK40",4,1e-05
"CBC","Cruickshank","CCK40",5,0.99996
"CBC","Cruickshank","CCK410",1,1e-05
"CBC","Cruickshank","CCK410",2,1e-05
"CBC","Cruickshank","CCK410",3,1e-05
"CBC","Cruickshank","CCK410",4,1e-05
"CBC","Cruickshank","CCK410",5,0.99996
"CBC","Cruickshank","CCK412",1,1e-05
"CBC","Cruickshank","CCK412",2,1e-05
"CBC","Cruickshank","CCK412",3,1e-05
"CBC","Cruickshank","CCK412",4,0.016015
"CBC","Cruickshank","CCK412",5,0.983955
"CBC","Cruickshank","CCK413",1,1e-05
"CBC","Cruickshank","CCK413",2,1e-05
"CBC","Cruickshank","CCK413",3,1e-05
"CBC","Cruickshank","CCK413",4,0.010722
"CBC","Cruickshank","CCK413",5,0.989247
"CBC","Cruickshank","CCK419",1,1e-05
"CBC","Cruickshank","CCK419",2,1e-05
"CBC","Cruickshank","CCK419",3,1e-05
"CBC","Cruickshank","CCK419",4,1e-05
"CBC","Cruickshank","CCK419",5,0.99996
"CBC","Cruickshank","CCK41",1,1e-05
"CBC","Cruickshank","CCK41",2,1e-05
"CBC","Cruickshank","CCK41",3,1e-05
"CBC","Cruickshank","CCK41",4,1e-05
"CBC","Cruickshank","CCK41",5,0.99996
"CBC","Cruickshank","CCK423",1,1e-05
"CBC","Cruickshank","CCK423",2,1e-05
"CBC","Cruickshank","CCK423",3,1e-05
"CBC","Cruickshank","CCK423",4,1e-05
"CBC","Cruickshank","CCK423",5,0.99996
"CBC","Cruickshank","CCK424",1,1e-05
"CBC","Cruickshank","CCK424",2,1e-05
"CBC","Cruickshank","CCK424",3,1e-05
"CBC","Cruickshank","CCK424",4,1e-05
"CBC","Cruickshank","CCK424",5,0.99996
"CBC","Cruickshank","CCK426",1,1e-05
"CBC","Cruickshank","CCK426",2,1e-05
"CBC","Cruickshank","CCK426",3,1e-05
"CBC","Cruickshank","CCK426",4,1e-05
"CBC","Cruickshank","CCK426",5,0.99996
"CBC","Cruickshank","CCK427",1,1e-05
"CBC","Cruickshank","CCK427",2,1e-05
"CBC","Cruickshank","CCK427",3,0.017554
"CBC","Cruickshank","CCK427",4,1e-05
"CBC","Cruickshank","CCK427",5,0.982416
"CBC","Cruickshank","CCK428",1,1e-05
"CBC","Cruickshank","CCK428",2,1e-05
"CBC","Cruickshank","CCK428",3,1e-05
"CBC","Cruickshank","CCK428",4,1e-05
"CBC","Cruickshank","CCK428",5,0.99996
"CBC","Cruickshank","CCK429",1,1e-05
"CBC","Cruickshank","CCK429",2,1e-05
"CBC","Cruickshank","CCK429",3,1e-05
"CBC","Cruickshank","CCK429",4,1e-05
"CBC","Cruickshank","CCK429",5,0.99996
"CBC","Cruickshank","CCK42",1,0.159259
"CBC","Cruickshank","CCK42",2,1e-05
"CBC","Cruickshank","CCK42",3,0.140411
"CBC","Cruickshank","CCK42",4,1e-05
"CBC","Cruickshank","CCK42",5,0.700311
"CBC","Cruickshank","CCK430",1,1e-05
"CBC","Cruickshank","CCK430",2,1e-05
"CBC","Cruickshank","CCK430",3,1e-05
"CBC","Cruickshank","CCK430",4,0.014487
"CBC","Cruickshank","CCK430",5,0.985483
"CBC","Cruickshank","CCK43",1,0.211442
"CBC","Cruickshank","CCK43",2,1e-05
"CBC","Cruickshank","CCK43",3,0.126174
"CBC","Cruickshank","CCK43",4,1e-05
"CBC","Cruickshank","CCK43",5,0.662364
"CBC","Cruickshank","CCK44",1,1e-05
"CBC","Cruickshank","CCK44",2,1e-05
"CBC","Cruickshank","CCK44",3,1e-05
"CBC","Cruickshank","CCK44",4,1e-05
"CBC","Cruickshank","CCK44",5,0.99996
"CBC","Cruickshank","CCK45",1,1e-05
"CBC","Cruickshank","CCK45",2,1e-05
"CBC","Cruickshank","CCK45",3,1e-05
"CBC","Cruickshank","CCK45",4,1e-05
"CBC","Cruickshank","CCK45",5,0.99996
"CBC","Cruickshank","CCK46",1,0.006315
"CBC","Cruickshank","CCK46",2,1.1e-05
"CBC","Cruickshank","CCK46",3,1e-05
"CBC","Cruickshank","CCK46",4,0.10318
"CBC","Cruickshank","CCK46",5,0.890485
"CBC","Cruickshank","CCK47",1,0.187134
"CBC","Cruickshank","CCK47",2,1e-05
"CBC","Cruickshank","CCK47",3,0.03282
"CBC","Cruickshank","CCK47",4,0.029919
"CBC","Cruickshank","CCK47",5,0.750117
"CBC","Cruickshank","CCK480",1,1e-05
"CBC","Cruickshank","CCK480",2,1e-05
"CBC","Cruickshank","CCK480",3,1e-05
"CBC","Cruickshank","CCK480",4,1e-05
"CBC","Cruickshank","CCK480",5,0.99996
"CBC","Cruickshank","CCK483",1,1e-05
"CBC","Cruickshank","CCK483",2,1.1e-05
"CBC","Cruickshank","CCK483",3,1e-05
"CBC","Cruickshank","CCK483",4,0.044422
"CBC","Cruickshank","CCK483",5,0.955547
"CBC","Cruickshank","CCK486",1,0.045978
"CBC","Cruickshank","CCK486",2,1e-05
"CBC","Cruickshank","CCK486",3,1e-05
"CBC","Cruickshank","CCK486",4,0.004659
"CBC","Cruickshank","CCK486",5,0.949343
"CBC","Cruickshank","CCK489",1,0.173414
"CBC","Cruickshank","CCK489",2,1e-05
"CBC","Cruickshank","CCK489",3,0.036313
"CBC","Cruickshank","CCK489",4,0.022416
"CBC","Cruickshank","CCK489",5,0.767847
"CBC","Cruickshank","CCK48",1,0.024715
"CBC","Cruickshank","CCK48",2,1e-05
"CBC","Cruickshank","CCK48",3,0.040099
"CBC","Cruickshank","CCK48",4,0.032869
"CBC","Cruickshank","CCK48",5,0.902306
"CBC","Cruickshank","CCK490",1,1e-05
"CBC","Cruickshank","CCK490",2,1e-05
"CBC","Cruickshank","CCK490",3,1e-05
"CBC","Cruickshank","CCK490",4,1e-05
"CBC","Cruickshank","CCK490",5,0.99996
"CBC","Cruickshank","CCK49",1,1e-05
"CBC","Cruickshank","CCK49",2,1e-05
"CBC","Cruickshank","CCK49",3,1e-05
"CBC","Cruickshank","CCK49",4,1e-05
"CBC","Cruickshank","CCK49",5,0.99996
"CBC","Cruickshank","CCK50",1,1e-05
"CBC","Cruickshank","CCK50",2,1e-05
"CBC","Cruickshank","CCK50",3,1e-05
"CBC","Cruickshank","CCK50",4,0.032737
"CBC","Cruickshank","CCK50",5,0.967233
"CBC","Cruickshank","CCK51",1,0.26823
"CBC","Cruickshank","CCK51",2,0.067067
"CBC","Cruickshank","CCK51",3,0.208227
"CBC","Cruickshank","CCK51",4,0.099112
"CBC","Cruickshank","CCK51",5,0.357364
"CBC","Cruickshank","CCK52",1,1e-05
"CBC","Cruickshank","CCK52",2,1e-05
"CBC","Cruickshank","CCK52",3,1e-05
"CBC","Cruickshank","CCK52",4,1e-05
"CBC","Cruickshank","CCK52",5,0.99996
"CBC","Cruickshank","CCK54",1,1e-05
"CBC","Cruickshank","CCK54",2,1e-05
"CBC","Cruickshank","CCK54",3,1e-05
"CBC","Cruickshank","CCK54",4,1e-05
"CBC","Cruickshank","CCK54",5,0.99996
"CBC","Cruickshank","CCK55",1,1.4e-05
"CBC","Cruickshank","CCK55",2,1e-05
"CBC","Cruickshank","CCK55",3,1e-05
"CBC","Cruickshank","CCK55",4,1e-05
"CBC","Cruickshank","CCK55",5,0.999956
"Merritt Island","CNS","CNS214",1,0.999952
"Merritt Island","CNS","CNS214",2,1e-05
"Merritt Island","CNS","CNS214",3,1e-05
"Merritt Island","CNS","CNS214",4,1.8e-05
"Merritt Island","CNS","CNS214",5,1e-05
"Merritt Island","CNS","CNS215",1,0.99996
"Merritt Island","CNS","CNS215",2,1e-05
"Merritt Island","CNS","CNS215",3,1e-05
"Merritt Island","CNS","CNS215",4,1e-05
"Merritt Island","CNS","CNS215",5,1e-05
"Merritt Island","CNS","CNS216",1,0.99996
"Merritt Island","CNS","CNS216",2,1e-05
"Merritt Island","CNS","CNS216",3,1e-05
"Merritt Island","CNS","CNS216",4,1e-05
"Merritt Island","CNS","CNS216",5,1e-05
"Merritt Island","CNS","CNS217",1,0.99996
"Merritt Island","CNS","CNS217",2,1e-05
"Merritt Island","CNS","CNS217",3,1e-05
"Merritt Island","CNS","CNS217",4,1e-05
"Merritt Island","CNS","CNS217",5,1e-05
"Merritt Island","CNS","CNS218",1,0.99996
"Merritt Island","CNS","CNS218",2,1e-05
"Merritt Island","CNS","CNS218",3,1e-05
"Merritt Island","CNS","CNS218",4,1e-05
"Merritt Island","CNS","CNS218",5,1e-05
"NBC","DCE","DCE56",1,0.247589
"NBC","DCE","DCE56",2,0.057021
"NBC","DCE","DCE56",3,0.223442
"NBC","DCE","DCE56",4,0.112258
"NBC","DCE","DCE56",5,0.35969
"NBC","DCE","DCE57",1,0.304434
"NBC","DCE","DCE57",2,0.041735
"NBC","DCE","DCE57",3,0.184868
"NBC","DCE","DCE57",4,0.103131
"NBC","DCE","DCE57",5,0.365832
"NBC","DCE","DCE58",1,0.239543
"NBC","DCE","DCE58",2,0.047162
"NBC","DCE","DCE58",3,0.139226
"NBC","DCE","DCE58",4,0.090387
"NBC","DCE","DCE58",5,0.483681
"NBC","DCE","DCE59",1,0.14857
"NBC","DCE","DCE59",2,1e-05
"NBC","DCE","DCE59",3,0.020206
"NBC","DCE","DCE59",4,0.029189
"NBC","DCE","DCE59",5,0.802025
"NBC","DCE","DCE60",1,0.078859
"NBC","DCE","DCE60",2,1e-05
"NBC","DCE","DCE60",3,0.049289
"NBC","DCE","DCE60",4,0.088086
"NBC","DCE","DCE60",5,0.783757
"NBC","DCE","DCE61",1,0.213877
"NBC","DCE","DCE61",2,0.047861
"NBC","DCE","DCE61",3,0.173277
"NBC","DCE","DCE61",4,0.065019
"NBC","DCE","DCE61",5,0.499965
"NBC","SL","EF244",1,1e-05
"NBC","SL","EF244",2,1e-05
"NBC","SL","EF244",3,1e-05
"NBC","SL","EF244",4,0.99996
"NBC","SL","EF244",5,1e-05
"NBC","SL","EF245",1,1.7e-05
"NBC","SL","EF245",2,1e-05
"NBC","SL","EF245",3,1.6e-05
"NBC","SL","EF245",4,0.999947
"NBC","SL","EF245",5,1e-05
"NBC","SL","EF246",1,1e-05
"NBC","SL","EF246",2,1e-05
"NBC","SL","EF246",3,1e-05
"NBC","SL","EF246",4,0.99996
"NBC","SL","EF246",5,1e-05
"NBC","SL","EF247",1,0.254109
"NBC","SL","EF247",2,0.004878
"NBC","SL","EF247",3,0.199912
"NBC","SL","EF247",4,0.346792
"NBC","SL","EF247",5,0.194309
"NBC","Fox","FOX383",1,0.091322
"NBC","Fox","FOX383",2,1e-05
"NBC","Fox","FOX383",3,0.084541
"NBC","Fox","FOX383",4,0.087638
"NBC","Fox","FOX383",5,0.736488
"NBC","SL","FOX62",1,1.1e-05
"NBC","SL","FOX62",2,1e-05
"NBC","SL","FOX62",3,1.3e-05
"NBC","SL","FOX62",4,0.999956
"NBC","SL","FOX62",5,1e-05
"NBC","SL","FOX63",1,0.291349
"NBC","SL","FOX63",2,0.039616
"NBC","SL","FOX63",3,0.15295
"NBC","SL","FOX63",4,0.290034
"NBC","SL","FOX63",5,0.22605
"NBC","SL","FOX64",1,0.130564
"NBC","SL","FOX64",2,1e-05
"NBC","SL","FOX64",3,0.06462
"NBC","SL","FOX64",4,0.720718
"NBC","SL","FOX64",5,0.084088
"Merritt Island","Happy Creek","HCK01",1,0.841907
"Merritt Island","Happy Creek","HCK01",2,1e-05
"Merritt Island","Happy Creek","HCK01",3,0.042603
"Merritt Island","Happy Creek","HCK01",4,0.007281
"Merritt Island","Happy Creek","HCK01",5,0.108199
"Merritt Island","Happy Creek","HCK02",1,0.829817
"Merritt Island","Happy Creek","HCK02",2,0.005473
"Merritt Island","Happy Creek","HCK02",3,0.037009
"Merritt Island","Happy Creek","HCK02",4,0.022512
"Merritt Island","Happy Creek","HCK02",5,0.105189
"Merritt Island","Happy Creek","HCK128",1,0.928828
"Merritt Island","Happy Creek","HCK128",2,1e-05
"Merritt Island","Happy Creek","HCK128",3,0.035038
"Merritt Island","Happy Creek","HCK128",4,0.006631
"Merritt Island","Happy Creek","HCK128",5,0.029493
"Merritt Island","Happy Creek","HCK131",1,0.970578
"Merritt Island","Happy Creek","HCK131",2,0.000126
"Merritt Island","Happy Creek","HCK131",3,1e-05
"Merritt Island","Happy Creek","HCK131",4,0.003639
"Merritt Island","Happy Creek","HCK131",5,0.025647
"Merritt Island","Happy Creek","HCK132",1,0.99996
"Merritt Island","Happy Creek","HCK132",2,1e-05
"Merritt Island","Happy Creek","HCK132",3,1e-05
"Merritt Island","Happy Creek","HCK132",4,1e-05
"Merritt Island","Happy Creek","HCK132",5,1e-05
"Merritt Island","Happy Creek","HCK133",1,0.955517
"Merritt Island","Happy Creek","HCK133",2,0.000911
"Merritt Island","Happy Creek","HCK133",3,0.03105
"Merritt Island","Happy Creek","HCK133",4,0.003583
"Merritt Island","Happy Creek","HCK133",5,0.00894
"Merritt Island","Happy Creek","HCK141",1,0.990188
"Merritt Island","Happy Creek","HCK141",2,1e-05
"Merritt Island","Happy Creek","HCK141",3,0.009782
"Merritt Island","Happy Creek","HCK141",4,1e-05
"Merritt Island","Happy Creek","HCK141",5,1e-05
"Merritt Island","Happy Creek","HCK142",1,0.976263
"Merritt Island","Happy Creek","HCK142",2,1e-05
"Merritt Island","Happy Creek","HCK142",3,0.013799
"Merritt Island","Happy Creek","HCK142",4,0.009918
"Merritt Island","Happy Creek","HCK142",5,1e-05
"Merritt Island","Happy Creek","HCK221",1,0.976047
"Merritt Island","Happy Creek","HCK221",2,0.001584
"Merritt Island","Happy Creek","HCK221",3,1e-05
"Merritt Island","Happy Creek","HCK221",4,1e-05
"Merritt Island","Happy Creek","HCK221",5,0.022349
"Merritt Island","Happy Creek","HCK226",1,0.99996
"Merritt Island","Happy Creek","HCK226",2,1e-05
"Merritt Island","Happy Creek","HCK226",3,1e-05
"Merritt Island","Happy Creek","HCK226",4,1e-05
"Merritt Island","Happy Creek","HCK226",5,1e-05
"Merritt Island","Happy Creek","HCK438",1,0.99066
"Merritt Island","Happy Creek","HCK438",2,1e-05
"Merritt Island","Happy Creek","HCK438",3,0.007303
"Merritt Island","Happy Creek","HCK438",4,1e-05
"Merritt Island","Happy Creek","HCK438",5,0.002017
"Merritt Island","Happy Creek","HCK445",1,0.976394
"Merritt Island","Happy Creek","HCK445",2,1e-05
"Merritt Island","Happy Creek","HCK445",3,0.015825
"Merritt Island","Happy Creek","HCK445",4,0.007761
"Merritt Island","Happy Creek","HCK445",5,1e-05
"Merritt Island","Happy Creek","HCK448",1,0.93559
"Merritt Island","Happy Creek","HCK448",2,0.008744
"Merritt Island","Happy Creek","HCK448",3,0.023182
"Merritt Island","Happy Creek","HCK448",4,0.007216
"Merritt Island","Happy Creek","HCK448",5,0.025268
"Merritt Island","Happy Creek","HCK99",1,0.99996
"Merritt Island","Happy Creek","HCK99",2,1e-05
"Merritt Island","Happy Creek","HCK99",3,1e-05
"Merritt Island","Happy Creek","HCK99",4,1e-05
"Merritt Island","Happy Creek","HCK99",5,1e-05
"Merritt Island","Happy Creek","HCKW123",1,0.99996
"Merritt Island","Happy Creek","HCKW123",2,1e-05
"Merritt Island","Happy Creek","HCKW123",3,1e-05
"Merritt Island","Happy Creek","HCKW123",4,1e-05
"Merritt Island","Happy Creek","HCKW123",5,1e-05
"Merritt Island","Happy Creek","HCKW442",1,0.99996
"Merritt Island","Happy Creek","HCKW442",2,1e-05
"Merritt Island","Happy Creek","HCKW442",3,1e-05
"Merritt Island","Happy Creek","HCKW442",4,1e-05
"Merritt Island","Happy Creek","HCKW442",5,1e-05
"Merritt Island","Happy Creek","HCKW98",1,0.99996
"Merritt Island","Happy Creek","HCKW98",2,1e-05
"Merritt Island","Happy Creek","HCKW98",3,1e-05
"Merritt Island","Happy Creek","HCKW98",4,1e-05
"Merritt Island","Happy Creek","HCKW98",5,1e-05
"SBC","Malabar","MALB143",1,1e-05
"SBC","Malabar","MALB143",2,1e-05
"SBC","Malabar","MALB143",3,0.690931
"SBC","Malabar","MALB143",4,1e-05
"SBC","Malabar","MALB143",5,0.309039
"SBC","Malabar","MALB379",1,1e-05
"SBC","Malabar","MALB379",2,1e-05
"SBC","Malabar","MALB379",3,0.65176
"SBC","Malabar","MALB379",4,1e-05
"SBC","Malabar","MALB379",5,0.34821
"SBC","Malabar","MALB382",1,0.080671
"SBC","Malabar","MALB382",2,1e-05
"SBC","Malabar","MALB382",3,0.676793
"SBC","Malabar","MALB382",4,0.043513
"SBC","Malabar","MALB382",5,0.199013
"SBC","Malabar","MALB398",1,0.070771
"SBC","Malabar","MALB398",2,1e-05
"SBC","Malabar","MALB398",3,0.649667
"SBC","Malabar","MALB398",4,0.033847
"SBC","Malabar","MALB398",5,0.245705
"SBC","Malabar","MALB452",1,0.041721
"SBC","Malabar","MALB452",2,1e-05
"SBC","Malabar","MALB452",3,0.512029
"SBC","Malabar","MALB452",4,0.021529
