"GO.ID","Term","Annotated","Significant","Expected","weightFisher","FDR"
"GO:0050684","regulation of mRNA processing",15,1,1.39,1,1
"GO:0031929","TOR signaling",5,1,0.46,1,1
"GO:0060485","mesenchyme development",21,6,1.94,1,1
"GO:0048731","system development",107,3,9.91,1,1
"GO:0019220","regulation of phosphate metabolic process",56,4,5.19,1,1
"GO:0009966","regulation of signal transduction",24,3,2.22,1,1
"GO:0009967","positive regulation of signal transduction",7,1,0.65,1,1
"GO:0019222","regulation of metabolic process",292,31,27.04,1,1
"GO:0009968","negative regulation of signal transduction",10,2,0.93,1,1
"GO:0071900","regulation of protein serine/threonine kinase activity",22,1,2.04,1,1
"GO:0045321","leukocyte activation",5,2,0.46,1,1
"GO:0001667","ameboidal-type cell migration",21,6,1.94,1,1
"GO:0061919","process utilizing autophagic mechanism",43,2,3.98,1,1
"GO:0051049","regulation of transport",6,1,0.56,1,1
"GO:0010959","regulation of metal ion transport",3,1,0.28,1,1
"GO:0003073","regulation of systemic arterial blood pressure",10,1,0.93,1,1
"GO:0019538","protein metabolic process",297,15,27.51,1,1
"GO:1901135","carbohydrate derivative metabolic process",25,3,2.32,1,1
"GO:0023051","regulation of signaling",26,3,2.41,1,1
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",6,3,0.56,1,1
"GO:0001654","eye development",17,1,1.57,1,1
"GO:0018208","peptidyl-proline modification",19,1,1.76,1,1
"GO:0044843","cell cycle G1/S phase transition",9,1,0.83,1,1
"GO:0051174","regulation of phosphorus metabolic process",56,4,5.19,1,1
"GO:0043687","post-translational protein modification",62,2,5.74,1,1
"GO:0023056","positive regulation of signaling",7,1,0.65,1,1
"GO:0051301","cell division",13,1,1.2,1,1
"GO:0023057","negative regulation of signaling",11,2,1.02,1,1
"GO:0019219","regulation of nucleobase-containing compound metabolic process",186,21,17.23,1,1
"GO:0033043","regulation of organelle organization",7,1,0.65,1,1
"GO:0051179","localization",211,17,19.54,1,1
"GO:0042770","signal transduction in response to DNA damage",11,1,1.02,1,1
"GO:0006412","translation",32,2,2.96,1,1
"GO:0000725","recombinational repair",36,5,3.33,1,1
"GO:0048583","regulation of response to stimulus",51,5,4.72,1,1
"GO:1903046","meiotic cell cycle process",14,2,1.3,1,1
"GO:0045859","regulation of protein kinase activity",25,1,2.32,1,1
"GO:1903047","mitotic cell cycle process",52,6,4.82,1,1
"GO:0048585","negative regulation of response to stimulus",10,2,0.93,1,1
"GO:0008610","lipid biosynthetic process",21,3,1.94,1,1
"GO:0050789","regulation of biological process",526,48,48.71,1,1
"GO:0097435","supramolecular fiber organization",11,1,1.02,1,1
"GO:0051128","regulation of cellular component organization",18,2,1.67,1,1
"GO:0044839","cell cycle G2/M phase transition",4,1,0.37,1,1
"GO:0033036","macromolecule localization",69,5,6.39,1,1
"GO:0003013","circulatory system process",10,1,0.93,1,1
"GO:0050776","regulation of immune response",25,1,2.32,1,1
"GO:0098609","cell-cell adhesion",7,3,0.65,1,1
"GO:0000470","maturation of LSU-rRNA",13,3,1.2,1,1
"GO:0050778","positive regulation of immune response",23,1,2.13,1,1
"GO:0050779","RNA destabilization",12,2,1.11,1,1
"GO:0008104","intracellular protein localization",66,5,6.11,1,1
"GO:0006397","mRNA processing",117,11,10.84,1,1
"GO:0051653","spindle localization",9,2,0.83,1,1
"GO:0045333","cellular respiration",6,3,0.56,1,1
"GO:0006399","tRNA metabolic process",23,1,2.13,1,1
"GO:0043933","protein-containing complex organization",95,12,8.8,1,1
"GO:0009653","anatomical structure morphogenesis",92,13,8.52,1,1
"GO:0061640","cytoskeleton-dependent cytokinesis",12,1,1.11,1,1
"GO:0051656","establishment of organelle localization",24,2,2.22,1,1
"GO:0007423","sensory organ development",17,1,1.57,1,1
"GO:0140527","reciprocal homologous recombination",7,1,0.65,1,1
"GO:0048522","positive regulation of cellular process",71,6,6.58,1,1
"GO:0048523","negative regulation of cellular process",200,25,18.52,1,1
"GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal",6,1,0.56,1,1
"GO:0012501","programmed cell death",25,1,2.32,1,1
"GO:1902679","negative regulation of RNA biosynthetic process",120,15,11.11,1,1
"GO:0000731","DNA synthesis involved in DNA repair",5,1,0.46,1,1
"GO:0048285","organelle fission",33,3,3.06,1,1
"GO:0043467","regulation of generation of precursor metabolites and energy",3,1,0.28,1,1
"GO:0048513","animal organ development",64,7,5.93,1,1
"GO:0006259","DNA metabolic process",81,10,7.5,1,1
"GO:0002682","regulation of immune system process",32,1,2.96,1,1
"GO:0002684","positive regulation of immune system process",29,1,2.69,1,1
"GO:0048518","positive regulation of biological process",92,7,8.52,1,1
"GO:0045184","establishment of protein localization",64,5,5.93,1,1
"GO:0048519","negative regulation of biological process",202,25,18.71,1,1
"GO:0140546","defense response to symbiont",14,1,1.3,1,1
"GO:0043457","regulation of cellular respiration",3,1,0.28,1,1
"GO:0060255","regulation of macromolecule metabolic process",286,30,26.49,1,1
"GO:0006091","generation of precursor metabolites and energy",6,3,0.56,1,1
"GO:0010948","negative regulation of cell cycle process",18,3,1.67,1,1
"GO:0071705","nitrogen compound transport",67,5,6.2,1,1
"GO:0090407","organophosphate biosynthetic process",12,2,1.11,1,1
"GO:0001775","cell activation",6,2,0.56,1,1
"GO:0043632","modification-dependent macromolecule catabolic process",15,2,1.39,1,1
"GO:0006364","rRNA processing",51,4,4.72,1,1
"GO:0036211","protein modification process",198,9,18.34,1,1
"GO:0010629","negative regulation of gene expression",29,4,2.69,1,1
"GO:0043484","regulation of RNA splicing",15,1,1.39,1,1
"GO:0032774","RNA biosynthetic process",375,41,34.73,1,1
"GO:0043487","regulation of RNA stability",12,2,1.11,1,1
"GO:0007267","cell-cell signaling",9,1,0.83,1,1
"GO:0043488","regulation of mRNA stability",12,2,1.11,1,1
"GO:0006402","mRNA catabolic process",28,4,2.59,1,1
"GO:0009628","response to abiotic stimulus",10,1,0.93,1,1
"GO:0016477","cell migration",36,6,3.33,1,1
"GO:0030097","hemopoiesis",8,2,0.74,1,1
"GO:0070085","glycosylation",24,1,2.22,1,1
"GO:0009611","response to wounding",7,2,0.65,1,1
"GO:0044770","cell cycle phase transition",29,4,2.69,1,1
"GO:0010467","gene expression",474,50,43.9,1,1
"GO:0044772","mitotic cell cycle phase transition",13,2,1.2,1,1
"GO:0010468","regulation of gene expression",222,24,20.56,1,1
"GO:0034654","nucleobase-containing compound biosynthetic process",384,43,35.56,1,1
"GO:0034655","nucleobase-containing compound catabolic process",30,5,2.78,1,1
"GO:0019953","sexual reproduction",30,2,2.78,1,1
"GO:0098542","defense response to other organism",14,1,1.3,1,1
"GO:0003008","system process",28,1,2.59,1,1
"GO:0051640","organelle localization",27,2,2.5,1,1
"GO:0051641","cellular localization",91,8,8.43,1,1
"GO:0010646","regulation of cell communication",24,3,2.22,1,1
"GO:0009100","glycoprotein metabolic process",16,2,1.48,1,1
"GO:0140053","mitochondrial gene expression",8,1,0.74,1,1
"GO:0010647","positive regulation of cell communication",7,1,0.65,1,1
"GO:0009101","glycoprotein biosynthetic process",14,2,1.3,1,1
"GO:0010648","negative regulation of cell communication",10,2,0.93,1,1
"GO:0009451","RNA modification",42,2,3.89,1,1
"GO:0000280","nuclear division",27,2,2.5,1,1
"GO:0048193","Golgi vesicle transport",19,2,1.76,1,1
"GO:0051649","establishment of localization in cell",87,8,8.06,1,1
"GO:0000038","very long-chain fatty acid metabolic process",3,0,0.28,1,1
"GO:0000054","ribosomal subunit export from nucleus",11,0,1.02,1,1
"GO:0000055","ribosomal large subunit export from nucleus",5,0,0.46,1,1
"GO:0000154","rRNA modification",9,0,0.83,1,1
"GO:0000165","MAPK cascade",9,0,0.83,1,1
"GO:0000209","protein polyubiquitination",42,0,3.89,1,1
"GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA",6,0,0.56,1,1
"GO:0000302","response to reactive oxygen species",3,0,0.28,1,1
"GO:0000338","protein deneddylation",5,0,0.46,1,1
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",4,0,0.37,1,1
"GO:0000455","enzyme-directed rRNA pseudouridine synthesis",4,0,0.37,1,1
"GO:0000460","maturation of 5.8S rRNA",11,0,1.02,1,1
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",5,0,0.46,1,1
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",6,0,0.56,1,1
"GO:0000972","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery",5,0,0.46,1,1
"GO:0000973","post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery",3,0,0.28,1,1
"GO:0001503","ossification",18,0,1.67,1,1
"GO:0001508","action potential",4,0,0.37,1,1
"GO:0001510","RNA methylation",11,0,1.02,1,1
"GO:0001514","selenocysteine incorporation",3,0,0.28,1,1
"GO:0001525","angiogenesis",24,0,2.22,1,1
"GO:0001568","blood vessel development",28,0,2.59,1,1
"GO:0001578","microtubule bundle formation",9,0,0.83,1,1
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste",3,0,0.28,1,1
"GO:0001649","osteoblast differentiation",8,0,0.74,1,1
"GO:0001675","acrosome assembly",3,0,0.28,1,1
"GO:0001678","intracellular glucose homeostasis",5,0,0.46,1,1
"GO:0001708","cell fate specification",5,0,0.46,1,1
"GO:0001731","formation of translation preinitiation complex",5,0,0.46,1,1
"GO:0001764","neuron migration",11,0,1.02,1,1
"GO:0001819","positive regulation of cytokine production",6,0,0.56,1,1
"GO:0001822","kidney development",5,0,0.46,1,1
"GO:0001836","release of cytochrome c from mitochondria",3,0,0.28,1,1
"GO:0001881","receptor recycling",7,0,0.65,1,1
"GO:0001906","cell killing",3,0,0.28,1,1
"GO:0001933","negative regulation of protein phosphorylation",5,0,0.46,1,1
"GO:0001935","endothelial cell proliferation",7,0,0.65,1,1
"GO:0001936","regulation of endothelial cell proliferation",6,0,0.56,1,1
"GO:0001937","negative regulation of endothelial cell proliferation",4,0,0.37,1,1
"GO:0001944","vasculature development",29,0,2.69,1,1
"GO:0002009","morphogenesis of an epithelium",5,0,0.46,1,1
"GO:0002064","epithelial cell development",3,0,0.28,1,1
"GO:0002084","protein depalmitoylation",4,0,0.37,1,1
"GO:0002090","regulation of receptor internalization",3,0,0.28,1,1
"GO:0002097","tRNA wobble base modification",7,0,0.65,1,1
"GO:0002098","tRNA wobble uridine modification",6,0,0.56,1,1
"GO:0002115","store-operated calcium entry",4,0,0.37,1,1
"GO:0002183","cytoplasmic translational initiation",8,0,0.74,1,1
"GO:0002218","activation of innate immune response",13,0,1.2,1,1
"GO:0002221","pattern recognition receptor signaling pathway",13,0,1.2,1,1
"GO:0002224","toll-like receptor signaling pathway",12,0,1.11,1,1
"GO:0002250","adaptive immune response",18,0,1.67,1,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",6,0,0.56,1,1
"GO:0002430","complement receptor mediated signaling pathway",5,0,0.46,1,1
"GO:0002443","leukocyte mediated immunity",9,0,0.83,1,1
"GO:0002449","lymphocyte mediated immunity",8,0,0.74,1,1
"GO:0002456","T cell mediated immunity",7,0,0.65,1,1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",9,0,0.83,1,1
"GO:0002685","regulation of leukocyte migration",3,0,0.28,1,1
"GO:0002687","positive regulation of leukocyte migration",3,0,0.28,1,1
"GO:0002697","regulation of immune effector process",6,0,0.56,1,1
"GO:0002699","positive regulation of immune effector process",4,0,0.37,1,1
"GO:0002700","regulation of production of molecular mediator of immune response",3,0,0.28,1,1
"GO:0002703","regulation of leukocyte mediated immunity",4,0,0.37,1,1
